Sold Date,Name,Main Price,Shipping Cost
2024-05-18,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.00,4.02
2024-05-18,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),54.00,4.02
2024-05-17,2018 Panini Donruss Josh Allen Rated Rookie Bills RC #304,56.00,4.99
2024-05-16,2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 🔥Josh Allen🔥 (RC),19.99,5.00
2024-05-16,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.35
2024-05-16,2018 Panini Donruss Josh Allen Rated Rookie Card #304 RC Buffalo Bills NFL,44.99,5.35
2024-05-15,2018 Panini Donruss Josh Allen Base Rated Rookie Card RC #304 Buffalo Bills,57.00,4.75
2024-05-15,2018 Donruss Josh Allen Rookie Gridiron Kings RC #RGK-4 Bills,16.50,4.75
2024-05-15,2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills,58.67,11.74
2024-05-15,2018 Donruss Josh Allen Rated Rookie RC #304 Bills ,50.00,4.19
2024-05-15,Josh Allen 2018 Panini Donruss The Rookies #R-4  Buffalo Bills Rookie RC🔥,36.00,5.85
2024-05-15,2018 Donruss #4 Josh Allen Rookie Phenom Jerseys MEM,52.16,0
2024-05-14,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.00,4.36
2024-05-13,2018 Panini Donruss - Rated Rookie Aqueous Test #304 Josh Allen (RC),45.00,3.96
2024-05-12,2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),45.00,4.02
2024-05-11,2018 Donruss Football Josh Allen Rated Rookies,60.00,5.35
2024-05-11,2018 Donruss Josh Allen Rated Rookie Card RC #304 Bills,61.00,4.75
2024-05-10,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.25
2024-05-10,2018 Josh Allen Donruss Rated Rookie Card # 304,48.00,4.00
2024-05-10,2018 NFL Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,99.99,0
2024-05-09,2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC Rare Collectible Card,54.99,4.47
2024-05-09,2018 PANINI DONRUSS FOOTBALL FACTORY SET W/ RC THREADS PACK JOSH ALLEN RC,168.98,0
2024-05-09,Josh Allen 2018 Donruss Rated Rookie RC #304 Wyoming Bills 🔥,59.99,0
2024-05-08,2018 Panini Donruss The Rookies #R-4 Josh Allen Buffalo Bills RC,39.99,0
2024-05-08,2018 Panini Donruss Rookie Threads JOSH ALLEN Jersey Patch RC CENTERED,42.00,4.36
2024-05-07,2018 Donruss Josh Allen Rated Rookie RC #304 Bills,51.00,4.75
2024-05-07,2018 Panini Donruss - The Rookies #R-4 Josh Allen,30.00,5.25
2024-05-07,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),59.00,3.96
2024-05-06,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),61.00,4.02
2024-05-06,2018 Panini Donruss - Josh Allen Rated Rookie #304 (RC) Bills 🔥,52.99,4.99
2024-05-05,2018 Panini Donruss Josh Allen #304 Rated Rookie RC Buffalo Bills,52.00,5.25
2024-05-05,2018 Panini Donruss Josh Allen Rated Rookie Card RC #304 Buffalo Bills,51.00,4.75
